id,h_e_id,s_name,s_sex,s_age,telephone,idcard,staff_position,wages,,
s001001,001,黎梁宗,男,27,11553955357,610326199303129595',主管,5000,,
s001002,001,史枫丽,女,27,17131977158,'231004199303136205',公共事务人员,4000,,
s001003,001,姜钧,女,27,19393295667,'23100419930313674X',公共事务人员,4000,,
s001004,001,江广忠,女,20,13476963796,'320281200010018803',公共事务人员,4000,,
s001005,001,奚美,女,41,18169583795,'632224197907048807',公共事务人员,4000,,
s001006,001,戴秋,女,24,13284334971,'320581199612038300',公共事务人员,4000,,
s001007,001,司空莲楠,女,35,16135679372,'532327198505179746',机电维修人员,4000,,
s001008,001,卢威,男,24,12772313561,'110107199603086496',机电维修人员,4000,,
s001009,001,元灵苇,男,56,17527823544,'231004196402259258',保安,3500,,
s001010,001,禄柔,女,35,16989911475,'532327198505177740',保安,3500,,
s001011,001,项海文,男,27,12449797172,'610326199303128453',保安,3500,,
s001012,001,房菡雨,女,41,15882763633,'632224197907047820',保安,3500,,
s001013,001,伏功树,男,44,19346169128,'43022119761012871X',保安,3500,,
s001014,001,湛新娣,男,24,12957663732,'11010719960308639X',保安,3500,,
s001015,001,庾霞,女,27,18129365129,'231004199303137507',保安,3500,,
s001016,001,申屠勇彪,女,35,13598966635,'532327198505177265',保安,3500,,
s001017,001,巩士,男,31,12238692813,'37052319890416991X',清洁工,3000,,
s001018,001,龚雁,女,35,19816792892,'532327198505178743',清洁工,3000,,
s001019,001,步文,男,44,13576377721,'430221197610129237',清洁工,3000,,
s001020,001,常纯,女,24,18597853359,'320581199612036823',清洁工,3000,,
s002001,002,项海文,男,27,19878195514,'610326199303128453',主管,5000,,
s002002,002,管发信,男,56,11295478759,'231004196402256698',公共事务人员,4000,,
s002003,002,瞿芸民,女,20,19495358394,'320281200010016103',公共事务人员,4000,,
s002004,002,湛言亨,男,31,11691483432,'370523198904167236',公共事务人员,4000,,
s002005,002,贾叶桦,男,31,13323117896,'370523198904166751',公共事务人员,4000,,
s002006,002,纪翠,女,35,19782347781,'532327198505179869',公共事务人员,4000,,
s002007,002,堵友洁,男,44,14785321366,'430221197610129691',机电维修人员,4000,,
s002008,002,夏枝翠,女,41,15527165984,'632224197907049826',机电维修人员,4000,,
s002009,002,耿韵莺,男,56,15796434934,'231004196402259098',保安,3500,,
s002010,002,卞姬,女,24,11339982648,'320581199612037201',保安,3500,,
s002011,002,王爱,男,31,15214757758,'370523198904168853',保安,3500,,
s002012,002,柯璧,女,20,19131535862,'320281200010019064',保安,3500,,
s002013,002,满茜,女,27,12672463131,'231004199303136627',保安,3500,,
s002014,002,宁浩,男,31,13424499477,'370523198904167332',保安,3500,,
s002015,002,卫莺伊,女,20,13182151895,'320281200010019160',保安,3500,,
s002016,002,闵艺,女,24,18835475263,'320581199612038300',保安,3500,,
s002017,002,韩叶,女,41,19438945184,'632224197907047564',清洁工,3000,,
s002018,002,吕黛月,男,24,15369732634,'110107199603088037',清洁工,3000,,
s002019,002,魏振芝,男,56,19191822634,'231004196402257578',清洁工,3000,,
s002020,002,朱利毓,男,56,17341518811,'231004196402258319',清洁工,3000,,
